id,name,dataset,state,region,province,municipality,lapse_rate_code,lat,lon,utmx,utmy,altitude,value
10,Vignola,locali,ITALY,EMILIA-ROMAGNA,MODENA,VIGNOLA,0,44.5041,11.0041,659314,4.92981e+06,100,13.4
10141,Cortile di Carpi,agrmet,ITALY,EMILIA-ROMAGNA,MODENA,CARPI,0,44.7784,10.9713,655965,4.96022e+06,23,11.6
11103,Pennabilli,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,PENNABILLI,0,43.8199,12.2741,763298,4.85708e+06,629,7.49999
11104,Cattolica,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,CATTOLICA,0,43.9585,12.7394,800020,4.87406e+06,5,10.1
11105,San Marino,simnbo,SAN MARINO,EE,EE,EE,0,43.9375,12.4465,776616,4.87071e+06,680,8.29999
11282,Marzaglia,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,MODENA,0,44.6371,10.806,643237,4.94423e+06,54,14.1
11832,Foce Metauro,fiduma,ITALY,MARCHE,PESARO E URBINO,FANO,0,43.8263,13.0538,825968,4.86058e+06,7,15.1
11834,Fossombrone,fiduma,ITALY,MARCHE,PESARO E URBINO,FOSSOMBRONE,0,43.6909,12.8246,808235,4.84466e+06,96,13.7
12072,Castelnovo Bariano CMT,fiduve,ITALY,VENETO,ROVIGO,CASTELNOVO BARIANO,0,45.0319,11.3269,683297,4.98913e+06,9,10.1
12099,Gesia-Cavarzere CMT,fiduve,ITALY,VENETO,VENEZIA,CAVARZERE,0,45.1625,12.0881,742697,5.00564e+06,1,9.29999
12165,Roverchiara CMT,fiduve,ITALY,VENETO,VERONA,ROVERCHIARA,0,45.2669,11.255,676901,5.01508e+06,20,10.1
12180,Sant'Apollinare CMT,fiduve,ITALY,VENETO,ROVIGO,ROVIGO,0,45.035,11.8269,722671,4.99073e+06,2,9.19999
12183,Sorga' CMT,fiduve,ITALY,VENETO,VERONA,SORGA',0,45.2189,11.0097,657792,5.00923e+06,24,10.6
12307,Loco Carchelli,fiduli,ITALY,LIGURIA,GENOVA,ROVEGNO,1,44.5542,9.28421,522573,4.93347e+06,600,9.39999
12411,Bologna San Luca,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BOLOGNA,0,44.4787,11.2984,682782,4.92761e+06,286,11.4
12461,Lago Scaffaiolo,simnpr,ITALY,EMILIA-ROMAGNA,MODENA,FANANO,0,44.1192,10.809,644748,4.8867e+06,1794,3.09999
12465,Lama,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,BAGNO DI ROMAGNA,1,43.8318,11.8377,728157,4.8571e+06,715,6.29999
12466,Campigna,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,SANTA SOFIA,0,43.8718,11.7472,720732,4.8613e+06,1060,2.99999
12467,Diga di Ridracoli,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,BAGNO DI ROMAGNA,1,43.8701,11.8387,728087,4.86136e+06,565,9.19999
12474,Corniolo,spdsra,ITALY,EMILIA-ROMAGNA,FORLI-CESENA,SANTA SOFIA,1,43.9031,11.7992,724789,4.86493e+06,476,9.29999
12479,Rimini Ausa,simnbo,ITALY,EMILIA-ROMAGNA,RIMINI,RIMINI,0,44.0565,12.5455,783993,4.88426e+06,10,11.6
12626,Garibaldi A.,boa,ITALY,EMILIA-ROMAGNA,RAVENNA,RAVENNA,1,44.5225,12.5114,779043,4.93591e+06,10,9.19999
12627,Piomboni_Elisup,boa,ITALY,EMILIA-ROMAGNA,RAVENNA,RAVENNA,0,44.4794,12.2708,760118,4.93033e+06,5,10.8
12628,Angelina,boa,ITALY,EMILIA-ROMAGNA,RAVENNA,RAVENNA,0,44.3911,12.3436,766307,4.92075e+06,25,10.7
12633,Castel del Rio,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,CASTEL DEL RIO,1,44.2142,11.5083,700380,4.89872e+06,183,12.3
12721,Cassa Dosolo,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,SALA BOLOGNESE,0,44.6539,11.2686,679874,4.94701e+06,22,11.9
12731,Bigarello,fidupo,ITALY,LOMBARDIA,MANTOVA,BIGARELLO,0,45.1874,10.8867,648218,5.0055e+06,26,11.8
12760,Cavenago d'Adda,fidupo,ITALY,LOMBARDIA,LODI,CAVENAGO D'ADDA,0,45.2699,9.56172,544064,5.01309e+06,67,14.3
12781,Goito,fidupo,ITALY,LOMBARDIA,MANTOVA,GOITO,0,45.2627,10.662,630393,5.01347e+06,42,11.6
12806,Palidano di Gonzaga,fidupo,ITALY,LOMBARDIA,MANTOVA,GONZAGA,0,44.9593,10.7573,638600,4.97993e+06,20,11.6
12809,Passo del Giova',fidupo,ITALY,LOMBARDIA,PAVIA,SANTA MARGHERITA DI STAFFORA,0,44.6832,9.21615,517130,4.94778e+06,1363,5.99999
12830,S.Angelo Lodigiano,fidupo,ITALY,LOMBARDIA,LODI,SANT'ANGELO LODIGIANO,0,45.2607,9.37965,529786,5.01198e+06,60,14.6
12832,S.Colombano al Lambro meteo,fidupo,ITALY,LOMBARDIA,MILANO,SAN COLOMBANO AL LAMBRO,0,45.1871,9.48623,538198,5.00385e+06,80,14.1
12847,Sermide,fidupo,ITALY,LOMBARDIA,MANTOVA,SERMIDE,0,45.0149,11.2933,680703,4.98716e+06,10,10.1
12860,Varzi Nivione (ersaf),fidupo,ITALY,LOMBARDIA,PAVIA,VARZI,0,44.8065,9.17837,514106,4.96147e+06,560,14.6
12921,Cabella Ligure,fidupo,ITALY,PIEMONTE,ALESSANDRIA,CABELLA LIGURE,1,44.6739,9.09194,507288,4.94673e+06,480,11.1
12981,Passo del Brattello,fiduto,ITALY,TOSCANA,MASSA CARRARA,PONTREMOLI,0,44.4562,9.82296,565472,4.92287e+06,955,3.69999
12982,Passo del Cerreto,fiduto,ITALY,TOSCANA,MASSA CARRARA,FIVIZZANO,0,44.3042,10.2168,597054,4.90638e+06,1250,2.29999
12994,Paderno,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BOLOGNA,0,44.4556,11.3108,683847,4.92507e+06,194,12.5
12997,San Cassiano sul Lamone,simnbo,ITALY,EMILIA-ROMAGNA,RAVENNA,BRISIGHELLA,1,44.1483,11.6914,715244,4.89187e+06,226,12.7
13038,Foce a Giovo,fiduto,ITALY,TOSCANA,LUCCA,COREGLIA ANTELMINELLI,0,44.1182,10.6093,628766,4.88626e+06,1674,3.79999
13064,Acquerino,fiduto,ITALY,TOSCANA,PISTOIA,SAMBUCA PISTOIESE,0,44.0232,11.0253,662312,4.87645e+06,950,4.99999
13105,Giogo,fiduto,ITALY,TOSCANA,FIRENZE,FIRENZUOLA,0,44.0474,11.3893,691412,4.87991e+06,880,3.99999
13129,Passo Radici,fiduto,ITALY,TOSCANA,LUCCA,CASTIGLIONE DI GARFAGNANA,0,44.1971,10.4867,618800,4.89483e+06,1637,-0.10001
13158,Sestino,fiduto,ITALY,TOSCANA,AREZZO,SESTINO,0,43.7496,12.2747,763651,4.84928e+06,1000,3.79999
14101,Bologna idrografico,simnbo,ITALY,EMILIA-ROMAGNA,BOLOGNA,BOLOGNA,1,44.4997,11.3461,686512,4.93006e+06,84,13.7
14387,Porto Garibaldi,marefe,ITALY,EMILIA-ROMAGNA,FERRARA,COMACCHIO,1,44.6767,12.2494,757544,4.95217e+06,0,10.7
14423,Castagneto,fiduto,ITALY,TOSCANA,FIRENZE,SAN GODENZO,0,43.9394,11.6427,712092,4.86854e+06,918,3.09999
14600,Riola di Vergato,claster,ITALY,EMILIA-ROMAGNA,BOLOGNA,GRIZZANA MORANDI,1,44.2303,11.0591,664446,4.89951e+06,254,15.18
